City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,roswell,34.0232,-84.3616,18.88,42,0,4.63,US,"02/14/23,23:22:14"
247,harper,4.375,-7.7169,26.35,85,42,2.97,LR,"02/14/23,23:26:12"
248,coahuayana,18.7333,-103.6833,28.75,43,61,3.01,MX,"02/14/23,23:26:13"
249,cidreira,-30.1811,-50.2056,23.47,88,100,1.51,BR,"02/14/23,23:26:14"
250,maralal,1.0968,36.698,14.54,63,6,1.98,KE,"02/14/23,23:26:14"
251,bathsheba,13.2167,-59.5167,26.34,73,40,8.23,BB,"02/14/23,23:26:15"
252,warragul,-38.1667,145.9333,23.91,41,67,0.66,AU,"02/14/23,23:26:16"
253,morros,-9.4467,-46.3003,27.65,52,75,0.73,BR,"02/14/23,23:26:16"
254,kruisfontein,-34.0033,24.7314,21.6,90,99,1.86,ZA,"02/14/23,23:26:17"
255,rosarito,32.3333,-117.0333,12.54,66,96,9.49,MX,"02/14/23,23:26:17"
256,hovd,48.0056,91.6419,-17.25,86,72,1.04,MN,"02/14/23,23:26:18"
257,kinston,35.2627,-77.5816,16.08,33,0,2.06,US,"02/14/23,23:22:15"
258,nantucket,41.2835,-70.0995,5.08,73,0,0.0,US,"02/14/23,23:24:11"
259,jacareacanga,-6.2222,-57.7528,25.52,88,83,0.82,BR,"02/14/23,23:26:19"
260,mahibadhoo,3.7833,72.9667,26.7,79,22,6.71,MV,"02/14/23,23:26:20"
261,darnah,32.767,22.6367,11.5,61,6,7.31,LY,"02/14/23,23:26:21"
262,caala,-12.8525,15.5606,16.46,90,100,0.62,AO,"02/14/23,23:26:22"
263,lagos,6.5833,3.75,25.71,87,6,1.33,NG,"02/14/23,23:15:00"
264,edd,13.9297,41.6925,27.15,34,9,6.34,ER,"02/14/23,23:26:23"
265,muli,2.9167,73.5667,26.95,76,19,5.19,MV,"02/14/23,23:26:23"
266,fortuna,40.5982,-124.1573,8.7,73,75,8.23,US,"02/14/23,23:26:24"
267,san cristobal,7.7669,-72.225,23.1,69,40,0.53,VE,"02/14/23,23:26:24"
268,maldonado,-34.6667,-54.9167,23.66,77,45,5.31,UY,"02/14/23,23:22:14"
269,bac lieu,9.285,105.7244,24.66,82,81,6.09,VN,"02/14/23,23:26:26"
270,fairbanks,64.8378,-147.7164,-12.17,77,100,2.57,US,"02/14/23,23:26:27"
271,zaysan,47.4667,84.8667,-15.0,90,99,1.14,KZ,"02/14/23,23:26:27"
272,seymchan,62.8833,152.4333,-28.4,94,100,1.59,RU,"02/14/23,23:26:28"
273,naica,27.85,-105.4833,21.38,6,87,10.29,MX,"02/14/23,23:26:29"
274,alihe,50.5667,123.7167,-25.14,97,18,1.35,CN,"02/14/23,23:26:29"
275,hofn,64.2539,-15.2082,4.45,73,100,9.62,IS,"02/14/23,23:26:30"
276,buraydah,26.326,43.975,9.25,49,18,5.27,SA,"02/14/23,23:26:31"
277,tshane,-24.0196,21.8684,22.87,70,95,3.94,BW,"02/14/23,23:26:32"
278,yeniseysk,58.4497,92.1703,-27.54,100,100,0.62,RU,"02/14/23,23:26:32"
279,poronaysk,49.2167,143.1167,-20.33,86,55,3.83,RU,"02/14/23,23:26:33"
280,mezen,65.8522,44.24,-16.64,99,93,0.96,RU,"02/14/23,23:26:33"
281,praia da vitoria,38.7333,-27.0667,11.53,87,20,2.48,PT,"02/14/23,23:26:34"
282,airai,-8.9266,125.4092,16.15,98,100,0.72,TL,"02/14/23,23:26:35"
283,itanhem,-17.1664,-40.33,25.33,75,99,5.03,BR,"02/14/23,23:26:35"
284,metro,-5.1131,105.3067,22.66,86,90,2.25,ID,"02/14/23,23:26:36"
285,calbuco,-41.768,-73.1273,15.56,82,100,2.99,CL,"02/14/23,23:26:36"
286,babynino,54.39,35.73,-1.14,86,100,6.88,RU,"02/14/23,23:26:37"
287,kisangani,0.5167,25.2,23.41,57,4,1.21,CD,"02/14/23,23:26:38"
288,pitimbu,-7.4706,-34.8086,27.33,78,100,4.67,BR,"02/14/23,23:26:38"
289,sorland,67.667,12.6934,6.92,89,97,10.55,NO,"02/14/23,23:22:15"
290,olinda,-8.0089,-34.8553,27.85,74,40,4.63,BR,"02/14/23,23:26:39"
291,lixourion,38.2019,20.4314,10.24,70,0,3.45,GR,"02/14/23,23:26:40"
292,novi knezevac,46.05,20.1,3.11,83,5,2.15,RS,"02/14/23,23:26:40"
